"編號","大類","部位","名稱","五行","取得管道","裝備等級","四維模板","主屬性","特效","特效效果（紫色；橙×1.5、白金×2）","套裝"
"劍-15","武器","劍","后土劍","土","可製作・至高宗門","Lv700～1000","玄妙","雷傷","破甲","攻擊無視目標 10% 減傷",""
"劍-16","武器","劍","血刃劍","金","外界・奪寶","依人物等級","剛柔","金傷","吸血","傷害的 3% 轉為氣血",""
"劍-17","武器","劍","蠱毒劍","木","外界・奪寶","依人物等級","均衡","毒傷","噬魂","擊殺時回復 3% 氣血",""
"劍-18","武器","劍","幽冥劍","水","外界・奪寶","依人物等級","剛猛","冰傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"劍-19","武器","劍","血焰劍","火","外界・奪寶","依人物等級","玄妙","火傷","焚燼","燒傷傷害 +20%",""
"劍-20","武器","劍","屍山劍","土","外界・奪寶","依人物等級","剛柔","雷傷","法爆","技能傷害 +5%",""
"劍-21","武器","劍","鎏金劍","金","外界・拍賣","依人物等級","均衡","金傷","剋敵","五行剋制時傷害再 +8%",""
"劍-22","武器","劍","翡翠劍","木","外界・拍賣","依人物等級","剛猛","毒傷","毒爆","中毒滿層時引爆，造成攻擊力 ×1.0",""
"劍-23","武器","劍","珍珠劍","水","外界・拍賣","依人物等級","玄妙","冰傷","疾風","5% 機率本回合再出手一次",""
"劍-24","武器","劍","瑪瑙劍","火","外界・拍賣","依人物等級","剛柔","火傷","燃魂","氣血高於 80% 時傷害 +8%",""
"劍-25","武器","劍","和闐劍","土","外界・拍賣","依人物等級","均衡","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"劍-26","武器","劍","戮仙劍","金","外界・秘境","依秘境層級","剛猛","金傷","聚靈","技能耗魔 -8%","戮仙（屬性）"
"劍-27","武器","劍","神農劍","木","外界・秘境","依秘境層級","玄妙","毒傷","追擊","8% 機率追加一次攻擊 ×0.6","神農（屬性）"
"劍-28","武器","劍","太陰劍","水","外界・秘境","依秘境層級","剛柔","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人","太陰（屬性）"
"劍-29","武器","劍","三昧劍","火","外界・秘境","依秘境層級","均衡","火傷","吸血","傷害的 3% 轉為氣血","三昧（屬性）"
"劍-30","武器","劍","九州劍","土","外界・秘境","依秘境層級","剛猛","雷傷","噬魂","擊殺時回復 3% 氣血","九州（屬性）"
"劍-31","武器","劍","太初劍","金","外界・秘境","依秘境層級","玄妙","金傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"劍-32","武器","劍","開天劍","金","外界・秘境","依秘境層級","剛柔","金傷","首擊","每波第一擊傷害 +25%",""
"劍-33","武器","劍","陷仙劍","金","外界・秘境","依秘境層級","均衡","金傷","法爆","技能傷害 +5%",""
"劍-34","武器","劍","絕仙劍","金","外界・秘境","依秘境層級","剛猛","金傷","剋敵","五行剋制時傷害再 +8%",""
"劍-35","武器","劍","青竹蜂雲劍","木","外界・秘境","依秘境層級","玄妙","毒傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"劍-36","武器","劍","青冥劍","木","外界・秘境","依秘境層級","剛柔","毒傷","疾風","5% 機率本回合再出手一次",""
"劍-37","武器","劍","東皇劍","木","外界・秘境","依秘境層級","均衡","毒傷","蝕骨","中毒傷害 +20%",""
"劍-38","武器","劍","木德劍","木","外界・秘境","依秘境層級","剛猛","毒傷","洞察","無視敵人 5% 閃避",""
"劍-39","武器","劍","北斗劍","水","外界・秘境","依秘境層級","玄妙","冰傷","聚靈","技能耗魔 -8%",""
"劍-40","武器","劍","寒淵劍","水","外界・秘境","依秘境層級","剛柔","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人",""
"劍-41","武器","劍","共工劍","水","外界・秘境","依秘境層級","均衡","冰傷","破甲","攻擊無視目標 10% 減傷",""
"劍-42","武器","劍","天一劍","水","外界・秘境","依秘境層級","剛猛","冰傷","吸血","傷害的 3% 轉為氣血",""
"劍-43","武器","劍","燭龍劍","火","外界・秘境","依秘境層級","玄妙","火傷","焚燼","燒傷傷害 +20%",""
"劍-44","武器","劍","赤帝劍","火","外界・秘境","依秘境層級","剛柔","火傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"劍-45","武器","劍","九鳳劍","火","外界・秘境","依秘境層級","均衡","火傷","首擊","每波第一擊傷害 +25%",""
"劍-46","武器","劍","天火劍","火","外界・秘境","依秘境層級","剛猛","火傷","焚燼","燒傷傷害 +20%",""
"劍-47","武器","劍","坤輿劍","土","外界・秘境","依秘境層級","玄妙","雷傷","剋敵","五行剋制時傷害再 +8%",""
"劍-48","武器","劍","泰山劍","土","外界・秘境","依秘境層級","剛柔","雷傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"劍-49","武器","劍","地藏劍","土","外界・秘境","依秘境層級","均衡","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"劍-50","武器","劍","厚德劍","土","外界・秘境","依秘境層級","剛猛","雷傷","燃魂","氣血高於 80% 時傷害 +8%",""
"刀-01","武器","刀","青銅刀","金","可製作・凡俗宗門","Lv10～100","剛猛","金傷","吸血","傷害的 3% 轉為氣血",""
"刀-02","武器","刀","竹節刃","木","可製作・凡俗宗門","Lv10～100","剛柔","毒傷","噬魂","擊殺時回復 3% 氣血",""
"刀-03","武器","刀","秋水刀","水","可製作・凡俗宗門","Lv10～100","均衡","冰傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"刀-04","武器","刀","紅纓刃","火","可製作・凡俗宗門","Lv10～100","厚重","火傷","焚燼","燒傷傷害 +20%",""
"刀-05","武器","刀","石紋刀","土","可製作・凡俗宗門","Lv10～100","剛猛","雷傷","法爆","技能傷害 +5%",""
"刀-06","武器","刀","斬魄刃","金","可製作・修真宗門","Lv200～500","剛柔","金傷","剋敵","五行剋制時傷害再 +8%",""
"刀-07","武器","刀","碧落刀","木","可製作・修真宗門","Lv200～500","均衡","毒傷","蝕骨","中毒傷害 +20%",""
"刀-08","武器","刀","流雲刃","水","可製作・修真宗門","Lv200～500","厚重","冰傷","疾風","5% 機率本回合再出手一次",""
"刀-09","武器","刀","焚天刀","火","可製作・修真宗門","Lv200～500","剛猛","火傷","燃魂","氣血高於 80% 時傷害 +8%",""
"刀-10","武器","刀","玄黃刃","土","可製作・修真宗門","Lv200～500","剛柔","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"刀-11","武器","刀","天罡刀","金","可製作・至高宗門","Lv700～1000","均衡","金傷","聚靈","技能耗魔 -8%",""
"刀-12","武器","刀","扶桑刃","木","可製作・至高宗門","Lv700～1000","厚重","毒傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"刀-13","武器","刀","北冥刀","水","可製作・至高宗門","Lv700～1000","剛猛","冰傷","寒徹","對凍結中的敵人傷害 +10%",""
"刀-14","武器","刀","離火刃","火","可製作・至高宗門","Lv700～1000","剛柔","火傷","吸血","傷害的 3% 轉為氣血",""
"刀-15","武器","刀","戊己刀","土","可製作・至高宗門","Lv700～1000","均衡","雷傷","噬魂","擊殺時回復 3% 氣血",""
"刀-16","武器","刀","奪魄刃","金","外界・奪寶","依人物等級","厚重","金傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"刀-17","武器","刀","噬心刀","木","外界・奪寶","依人物等級","剛猛","毒傷","首擊","每波第一擊傷害 +25%",""
"刀-18","武器","刀","黃泉刃","水","外界・奪寶","依人物等級","剛柔","冰傷","法爆","技能傷害 +5%",""
"刀-19","武器","刀","魔焰刀","火","外界・奪寶","依人物等級","均衡","火傷","焚燼","燒傷傷害 +20%",""
"刀-20","武器","刀","白骨刃","土","外界・奪寶","依人物等級","厚重","雷傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"刀-21","武器","刀","琉璃刀","金","外界・拍賣","依人物等級","剛猛","金傷","疾風","5% 機率本回合再出手一次",""
"刀-22","武器","刀","沉香刃","木","外界・拍賣","依人物等級","剛柔","毒傷","毒爆","中毒滿層時引爆，造成攻擊力 ×1.0",""
"刀-23","武器","刀","水晶刀","水","外界・拍賣","依人物等級","均衡","冰傷","洞察","無視敵人 5% 閃避",""
"刀-24","武器","刀","珊瑚刃","火","外界・拍賣","依人物等級","厚重","火傷","聚靈","技能耗魔 -8%",""
"刀-25","武器","刀","黃玉刀","土","外界・拍賣","依人物等級","剛猛","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"刀-26","武器","刀","太乙刃","金","外界・秘境","依秘境層級","剛柔","金傷","破甲","攻擊無視目標 10% 減傷","太乙（物攻）"
"刀-27","武器","刀","蒼龍刀","木","外界・秘境","依秘境層級","均衡","毒傷","吸血","傷害的 3% 轉為氣血","蒼龍（物攻）"
"刀-28","武器","刀","真武刃","水","外界・秘境","依秘境層級","厚重","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人","真武（物攻）"
"刀-29","武器","刀","祝融刀","火","外界・秘境","依秘境層級","剛猛","火傷","橫掃","普攻 10% 機率波及全體 ×0.4","祝融（物攻）"
"刀-30","武器","刀","盤古刃","土","外界・秘境","依秘境層級","剛柔","雷傷","首擊","每波第一擊傷害 +25%","盤古（物攻）"
"刀-31","武器","刀","金蚨子母刃","金","外界・秘境","依秘境層級","均衡","金傷","法爆","技能傷害 +5%",""
"刀-32","武器","刀","紫霄刃","金","外界・秘境","依秘境層級","厚重","金傷","剋敵","五行剋制時傷害再 +8%",""
"刀-33","武器","刀","星隕刀","金","外界・秘境","依秘境層級","剛猛","金傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"刀-34","武器","刀","破虛刃","金","外界・秘境","依秘境層級","剛柔","金傷","疾風","5% 機率本回合再出手一次",""
"刀-35","武器","刀","木德刀","木","外界・秘境","依秘境層級","均衡","毒傷","燃魂","氣血高於 80% 時傷害 +8%",""
"刀-36","武器","刀","生生刃","木","外界・秘境","依秘境層級","厚重","毒傷","洞察","無視敵人 5% 閃避",""
"刀-37","武器","刀","萬靈刀","木","外界・秘境","依秘境層級","剛猛","毒傷","蝕骨","中毒傷害 +20%",""
"刀-38","武器","刀","青虛刃","木","外界・秘境","依秘境層級","剛柔","毒傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"刀-39","武器","刀","天一刀","水","外界・秘境","依秘境層級","均衡","冰傷","破甲","攻擊無視目標 10% 減傷",""
"刀-40","武器","刀","冰皇刃","水","外界・秘境","依秘境層級","厚重","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人",""
"刀-41","武器","刀","雪域刀","水","外界・秘境","依秘境層級","剛猛","冰傷","噬魂","擊殺時回復 3% 氣血",""
"刀-42","武器","刀","龍宮刃","水","外界・秘境","依秘境層級","剛柔","冰傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"刀-43","武器","刀","天火刀","火","外界・秘境","依秘境層級","均衡","火傷","焚燼","燒傷傷害 +20%",""
"刀-44","武器","刀","熾天刃","火","外界・秘境","依秘境層級","厚重","火傷","法爆","技能傷害 +5%",""
"刀-45","武器","刀","丹陽刀","火","外界・秘境","依秘境層級","剛猛","火傷","剋敵","五行剋制時傷害再 +8%",""
"刀-46","武器","刀","火德刃","火","外界・秘境","依秘境層級","剛柔","火傷","焚燼","燒傷傷害 +20%",""
"刀-47","武器","刀","厚德刀","土","外界・秘境","依秘境層級","均衡","雷傷","疾風","5% 機率本回合再出手一次",""
"刀-48","武器","刀","乾坤刃","土","外界・秘境","依秘境層級","厚重","雷傷","燃魂","氣血高於 80% 時傷害 +8%",""
"刀-49","武器","刀","太嶽刀","土","外界・秘境","依秘境層級","剛猛","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"刀-50","武器","刀","八荒刃","土","外界・秘境","依秘境層級","剛柔","雷傷","聚靈","技能耗魔 -8%",""
"扇-01","武器","扇","鐵骨扇","金","可製作・凡俗宗門","Lv10～100","玄妙","金傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"扇-02","武器","扇","桑木扇","木","可製作・凡俗宗門","Lv10～100","雅致","毒傷","首擊","每波第一擊傷害 +25%",""
"扇-03","武器","扇","冷泉扇","水","可製作・凡俗宗門","Lv10～100","靈動","冰傷","法爆","技能傷害 +5%",""
"扇-04","武器","扇","烈陽扇","火","可製作・凡俗宗門","Lv10～100","法體","火傷","焚燼","燒傷傷害 +20%",""
"扇-05","武器","扇","厚土扇","土","可製作・凡俗宗門","Lv10～100","玄妙","雷傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"扇-06","武器","扇","破軍扇","金","可製作・修真宗門","Lv200～500","雅致","金傷","疾風","5% 機率本回合再出手一次",""
"扇-07","武器","扇","長青扇","木","可製作・修真宗門","Lv200～500","靈動","毒傷","蝕骨","中毒傷害 +20%",""
"扇-08","武器","扇","冰魄扇","水","可製作・修真宗門","Lv200～500","法體","冰傷","洞察","無視敵人 5% 閃避",""
"扇-09","武器","扇","流火扇","火","可製作・修真宗門","Lv200～500","玄妙","火傷","聚靈","技能耗魔 -8%",""
"扇-10","武器","扇","山河扇","土","可製作・修真宗門","Lv200～500","雅致","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"扇-11","武器","扇","誅邪扇","金","可製作・至高宗門","Lv700～1000","靈動","金傷","破甲","攻擊無視目標 10% 減傷",""
"扇-12","武器","扇","青帝扇","木","可製作・至高宗門","Lv700～1000","法體","毒傷","吸血","傷害的 3% 轉為氣血",""
"扇-13","武器","扇","天河扇","水","可製作・至高宗門","Lv700～1000","玄妙","冰傷","寒徹","對凍結中的敵人傷害 +10%",""
"扇-14","武器","扇","朱雀扇","火","可製作・至高宗門","Lv700～1000","雅致","火傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"扇-15","武器","扇","崑崙扇","土","可製作・至高宗門","Lv700～1000","靈動","雷傷","首擊","每波第一擊傷害 +25%",""
"扇-16","武器","扇","鬼哭扇","金","外界・奪寶","依人物等級","法體","金傷","法爆","技能傷害 +5%",""
"扇-17","武器","扇","鬼藤扇","木","外界・奪寶","依人物等級","玄妙","毒傷","剋敵","五行剋制時傷害再 +8%",""
"扇-18","武器","扇","冥河扇","水","外界・奪寶","依人物等級","雅致","冰傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"扇-19","武器","扇","焚魂扇","火","外界・奪寶","依人物等級","靈動","火傷","焚燼","燒傷傷害 +20%",""
"扇-20","武器","扇","墳土扇","土","外界・奪寶","依人物等級","法體","雷傷","燃魂","氣血高於 80% 時傷害 +8%",""
"扇-21","武器","扇","珍瓏扇","金","外界・拍賣","依人物等級","玄妙","金傷","洞察","無視敵人 5% 閃避",""
"扇-22","武器","扇","紫檀扇","木","外界・拍賣","依人物等級","雅致","毒傷","毒爆","中毒滿層時引爆，造成攻擊力 ×1.0",""
"扇-23","武器","扇","冰玉扇","水","外界・拍賣","依人物等級","靈動","冰傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"扇-24","武器","扇","赤玉扇","火","外界・拍賣","依人物等級","法體","火傷","破甲","攻擊無視目標 10% 減傷",""
"扇-25","武器","扇","玳瑁扇","土","外界・拍賣","依人物等級","玄妙","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"扇-26","武器","扇","神霄扇","金","外界・秘境","依秘境層級","雅致","金傷","噬魂","擊殺時回復 3% 氣血","神霄（法攻）"
"扇-27","武器","扇","太昊扇","木","外界・秘境","依秘境層級","靈動","毒傷","橫掃","普攻 10% 機率波及全體 ×0.4","太昊（法攻）"
"扇-28","武器","扇","玄女扇","水","外界・秘境","依秘境層級","法體","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人","玄女（法攻）"
"扇-29","武器","扇","羲和扇","火","外界・秘境","依秘境層級","玄妙","火傷","法爆","技能傷害 +5%","羲和（法攻）"
"扇-30","武器","扇","黃庭扇","土","外界・秘境","依秘境層級","雅致","雷傷","剋敵","五行剋制時傷害再 +8%","黃庭（法攻）"
"扇-31","武器","扇","戮仙扇","金","外界・秘境","依秘境層級","靈動","金傷","斬殺","對氣血低於 20% 的敵人傷害 +20%","戮仙（屬性）"
"扇-32","武器","扇","神農扇","木","外界・秘境","依秘境層級","法體","毒傷","疾風","5% 機率本回合再出手一次","神農（屬性）"
"扇-33","武器","扇","太陰扇","水","外界・秘境","依秘境層級","玄妙","冰傷","燃魂","氣血高於 80% 時傷害 +8%","太陰（屬性）"
"扇-34","武器","扇","三昧扇","火","外界・秘境","依秘境層級","雅致","火傷","焚燼","燒傷傷害 +20%","三昧（屬性）"
"扇-35","武器","扇","九州扇","土","外界・秘境","依秘境層級","靈動","雷傷","聚靈","技能耗魔 -8%","九州（屬性）"
"扇-36","武器","扇","破虛扇","金","外界・秘境","依秘境層級","法體","金傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"扇-37","武器","扇","斷界扇","金","外界・秘境","依秘境層級","玄妙","金傷","破甲","攻擊無視目標 10% 減傷",""
"扇-38","武器","扇","萬劍扇","金","外界・秘境","依秘境層級","雅致","金傷","吸血","傷害的 3% 轉為氣血",""
"扇-39","武器","扇","青虛扇","木","外界・秘境","依秘境層級","靈動","毒傷","噬魂","擊殺時回復 3% 氣血",""
"扇-40","武器","扇","靈樞扇","木","外界・秘境","依秘境層級","法體","毒傷","毒爆","中毒滿層時引爆，造成攻擊力 ×1.0",""
"扇-41","武器","扇","碧霄扇","木","外界・秘境","依秘境層級","玄妙","毒傷","首擊","每波第一擊傷害 +25%",""
"扇-42","武器","扇","乾藍冰焰扇","水","外界・秘境","依秘境層級","雅致","冰傷","法爆","技能傷害 +5%",""
"扇-43","武器","扇","四海扇","水","外界・秘境","依秘境層級","靈動","冰傷","寒徹","對凍結中的敵人傷害 +10%",""
"扇-44","武器","扇","月魄扇","水","外界・秘境","依秘境層級","法體","冰傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"扇-45","武器","扇","火德扇","火","外界・秘境","依秘境層級","玄妙","火傷","疾風","5% 機率本回合再出手一次",""
"扇-46","武器","扇","赤明扇","火","外界・秘境","依秘境層級","雅致","火傷","焚燼","燒傷傷害 +20%",""
"扇-47","武器","扇","朝陽扇","火","外界・秘境","依秘境層級","靈動","火傷","洞察","無視敵人 5% 閃避",""
"扇-48","武器","扇","八荒扇","土","外界・秘境","依秘境層級","法體","雷傷","聚靈","技能耗魔 -8%",""
"扇-49","武器","扇","洪荒扇","土","外界・秘境","依秘境層級","玄妙","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"扇-50","武器","扇","鎮獄扇","土","外界・秘境","依秘境層級","雅致","雷傷","破甲","攻擊無視目標 10% 減傷",""
"弓-01","武器","弓","白銅弓","金","可製作・凡俗宗門","Lv10～100","剛猛","金傷","法爆","技能傷害 +5%",""
"弓-02","武器","弓","青藤弓","木","可製作・凡俗宗門","Lv10～100","靈動","毒傷","剋敵","五行剋制時傷害再 +8%",""
"弓-03","武器","弓","碧波弓","水","可製作・凡俗宗門","Lv10～100","均衡","冰傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"弓-04","武器","弓","丹霞弓","火","可製作・凡俗宗門","Lv10～100","剛柔","火傷","焚燼","燒傷傷害 +20%",""
"弓-05","武器","弓","山紋弓","土","可製作・凡俗宗門","Lv10～100","剛猛","雷傷","燃魂","氣血高於 80% 時傷害 +8%",""
"弓-06","武器","弓","流光弓","金","可製作・修真宗門","Lv200～500","靈動","金傷","洞察","無視敵人 5% 閃避",""
"弓-07","武器","弓","蒼松弓","木","可製作・修真宗門","Lv200～500","均衡","毒傷","蝕骨","中毒傷害 +20%",""
"弓-08","武器","弓","滄浪弓","水","可製作・修真宗門","Lv200～500","剛柔","冰傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"弓-09","武器","弓","炎陽弓","火","可製作・修真宗門","Lv200～500","剛猛","火傷","破甲","攻擊無視目標 10% 減傷",""
"弓-10","武器","弓","磐石弓","土","可製作・修真宗門","Lv200～500","靈動","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"弓-11","武器","弓","金闕弓","金","可製作・至高宗門","Lv700～1000","均衡","金傷","噬魂","擊殺時回復 3% 氣血",""
"弓-12","武器","弓","萬木弓","木","可製作・至高宗門","Lv700～1000","剛柔","毒傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"弓-13","武器","弓","弱水弓","水","可製作・至高宗門","Lv700～1000","剛猛","冰傷","寒徹","對凍結中的敵人傷害 +10%",""
"弓-14","武器","弓","九陽弓","火","可製作・至高宗門","Lv700～1000","靈動","火傷","法爆","技能傷害 +5%",""
"弓-15","武器","弓","不周弓","土","可製作・至高宗門","Lv700～1000","均衡","雷傷","剋敵","五行剋制時傷害再 +8%",""
"弓-16","武器","弓","修羅弓","金","外界・奪寶","依人物等級","剛柔","金傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"弓-17","武器","弓","血藤弓","木","外界・奪寶","依人物等級","剛猛","毒傷","疾風","5% 機率本回合再出手一次",""
"弓-18","武器","弓","陰煞弓","水","外界・奪寶","依人物等級","靈動","冰傷","燃魂","氣血高於 80% 時傷害 +8%",""
"弓-19","武器","弓","煉獄弓","火","外界・奪寶","依人物等級","均衡","火傷","焚燼","燒傷傷害 +20%",""
"弓-20","武器","弓","骷髏弓","土","外界・奪寶","依人物等級","剛柔","雷傷","聚靈","技能耗魔 -8%",""
"弓-21","武器","弓","紫金弓","金","外界・拍賣","依人物等級","剛猛","金傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"弓-22","武器","弓","檀香弓","木","外界・拍賣","依人物等級","靈動","毒傷","毒爆","中毒滿層時引爆，造成攻擊力 ×1.0",""
"弓-23","武器","弓","月華弓","水","外界・拍賣","依人物等級","均衡","冰傷","吸血","傷害的 3% 轉為氣血",""
"弓-24","武器","弓","霞光弓","火","外界・拍賣","依人物等級","剛柔","火傷","噬魂","擊殺時回復 3% 氣血",""
"弓-25","武器","弓","墨玉弓","土","外界・拍賣","依人物等級","剛猛","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"弓-26","武器","弓","太乙弓","金","外界・秘境","依秘境層級","靈動","金傷","首擊","每波第一擊傷害 +25%","太乙（物攻）"
"弓-27","武器","弓","蒼龍弓","木","外界・秘境","依秘境層級","均衡","毒傷","法爆","技能傷害 +5%","蒼龍（物攻）"
"弓-28","武器","弓","真武弓","水","外界・秘境","依秘境層級","剛柔","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人","真武（物攻）"
"弓-29","武器","弓","祝融弓","火","外界・秘境","依秘境層級","剛猛","火傷","斬殺","對氣血低於 20% 的敵人傷害 +20%","祝融（物攻）"
"弓-30","武器","弓","盤古弓","土","外界・秘境","依秘境層級","靈動","雷傷","疾風","5% 機率本回合再出手一次","盤古（物攻）"
"弓-31","武器","弓","金烏弓","金","外界・秘境","依秘境層級","均衡","金傷","燃魂","氣血高於 80% 時傷害 +8%",""
"弓-32","武器","弓","西極弓","金","外界・秘境","依秘境層級","剛柔","金傷","洞察","無視敵人 5% 閃避",""
"弓-33","武器","弓","天刑弓","金","外界・秘境","依秘境層級","剛猛","金傷","聚靈","技能耗魔 -8%",""
"弓-34","武器","弓","無量弓","金","外界・秘境","依秘境層級","靈動","金傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"弓-35","武器","弓","長春弓","木","外界・秘境","依秘境層級","均衡","毒傷","破甲","攻擊無視目標 10% 減傷",""
"弓-36","武器","弓","九嶷弓","木","外界・秘境","依秘境層級","剛柔","毒傷","吸血","傷害的 3% 轉為氣血",""
"弓-37","武器","弓","瀛洲弓","木","外界・秘境","依秘境層級","剛猛","毒傷","蝕骨","中毒傷害 +20%",""
"弓-38","武器","弓","方丈弓","木","外界・秘境","依秘境層級","靈動","毒傷","橫掃","普攻 10% 機率波及全體 ×0.4",""
"弓-39","武器","弓","星河弓","水","外界・秘境","依秘境層級","均衡","冰傷","首擊","每波第一擊傷害 +25%",""
"弓-40","武器","弓","天潢弓","水","外界・秘境","依秘境層級","剛柔","冰傷","冰封","凍結時 30% 機率擴散到另一名敵人",""
"弓-41","武器","弓","太虛弓","水","外界・秘境","依秘境層級","剛猛","冰傷","剋敵","五行剋制時傷害再 +8%",""
"弓-42","武器","弓","靈霄弓","水","外界・秘境","依秘境層級","靈動","冰傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"弓-43","武器","弓","焰魔弓","火","外界・秘境","依秘境層級","均衡","火傷","焚燼","燒傷傷害 +20%",""
"弓-44","武器","弓","鳳凰弓","火","外界・秘境","依秘境層級","剛柔","火傷","燃魂","氣血高於 80% 時傷害 +8%",""
"弓-45","武器","弓","陽燧弓","火","外界・秘境","依秘境層級","剛猛","火傷","洞察","無視敵人 5% 閃避",""
"弓-46","武器","弓","離明弓","火","外界・秘境","依秘境層級","靈動","火傷","焚燼","燒傷傷害 +20%",""
"弓-47","武器","弓","山海弓","土","外界・秘境","依秘境層級","均衡","雷傷","追擊","8% 機率追加一次攻擊 ×0.6",""
"弓-48","武器","弓","玄穹弓","土","外界・秘境","依秘境層級","剛柔","雷傷","破甲","攻擊無視目標 10% 減傷",""
"弓-49","武器","弓","中州弓","土","外界・秘境","依秘境層級","剛猛","雷傷","連雷","雷擊時再劈另一名敵人 ×0.5",""
"弓-50","武器","弓","大荒弓","土","外界・秘境","依秘境層級","靈動","雷傷","噬魂","擊殺時回復 3% 氣血",""
"笛-01","武器","笛","銀紋笛","金","可製作・凡俗宗門","Lv10～100","玄妙","金傷","斬殺","對氣血低於 20% 的敵人傷害 +20%",""
"笛-02","武器","笛","柳葉笛","木","可製作・凡俗宗門","Lv10～100","靈動","毒傷","疾風","5% 機率本回合再出手一次",""
"笛-03","武器","笛","霜紋笛","水","可製作・凡俗宗門","Lv10～100","雅致","冰傷","燃魂","氣血高於 80% 時傷害 +8%",""
